composition,S,S^2,sigma,kappa,sigma/kappa,ZT
Zr0.5Hf0.5Ni1.0Sn1.994Sb0.006,-211,44521,858,2.767,310.0831225,0.41
Yb14.0Mn1.0Sb11.0,56,3136,490,0.84,583.3333333,0.06
Zn4.0Sb3.0,111,12321,475,1.01,470.2970297,0.17
Zn4.0Sb3.0,122,14884,433,0.77,562.3376623,0.25
Zn4.0Sb3.0,127,16129,470,0.76,618.4210526,0.3
Zn4.0Sb3.0,136,18496,460,0.783,587.4840358,0.33
Ca3.0Al1.0Sb3.0,165,27225,0.834,1.45,0.575172414,0.00047
Ca2.97Na0.03Al1.0Sb3.0,90,8100,10.2,1.67,6.107784431,0.00148
Ca2.94Na0.06Al1.0Sb3.0,82,6724,17,1.65,10.3030303,0.00205
Ca2.85Na0.15Al1.0Sb3.0,113,12769,36.4,1.59,22.89308176,0.0087
Ca5.0Al2.0Sb6.0,470,220900,2.188,1.54,1.420779221,0.00941
Ca4.95Na0.05Al2.0Sb6.0,193,37249,30.1,1.49,20.20134228,0.02
Ca4.75Na0.25Al2.0Sb6.0,143,20449,198,1.45,136.5517241,0.08
Bi2.0Te3.0,162,26244,1820,1.468,1239.782016,0.98
Bi2.0Te3.0,-174,30276,2220,4.017,552.6512323,0.5
Sb2.0Te3.0,38,1444,5260,3.378,1557.134399,0.07
Sb2.0Te3.0,63,3969,8200,5.205,1575.408261,0.19
Ag0.15Sb0.15Te1.15Ge0.85,79,6241,1440,1.499,960.640427,0.18
Na0.02Pb1.0Te1.0,62,3844,2710,3.996,678.1781782,0.08
Na0.02Pb1.0Te0.85Se0.15,51,2601,2420,3.014,802.919708,0.06
Na0.02Pb1.0Te0.75Se0.25,59,3481,1950,2.696,723.2937685,0.08
Tl0.01Pb0.99Te1.0,140,19600,365,1.942,187.9505664,0.11
Tl0.02Pb0.98Te1.0,136,18496,418,2.168,192.804428,0.11
K2.0Bi8.0Se13.0,-196,38416,30.8,1.285,23.9688716,0.03
Ag1.0Cr1.0Se2.0,279,77841,22.4,0.956,23.43096234,0.05
Mo3.0Te4.0,4,16,1410,3.812,369.884575,0.000185
Mo6.0Te7.0S1.0,3,9,1300,2.773,468.8063469,0.000158
Mo6.0Te6.0S2.0,6,36,1170,2.125,550.5882353,0.000654
Cr1.3Mo6.0S8.0,22,484,1970,1.938,1016.511868,0.01
Mn1.3Mo6.0S8.0,27,729,1450,1.432,1012.569832,0.02
Fe1.3Mo6.0S8.0,23,529,1540,1.488,1034.946237,0.02
Ni2.0Mo6.0S8.0,8,64,1620,1.714,945.1575263,0.00194
Cu4.0Mo6.0S8.0,48,2304,1200,1.348,890.2077151,0.06
Sb0.005I0.015Cs0.995Bi3.98Te5.97,154,23716,1180,1.5,786.6666667,0.56
Bi1.2S4.0Ti2.0,-41,1681,3090,2.94,1051.020408,0.05
